Dish Name;Baby Age;Iron-Rich;Allergen;Ingredients;Cooking Time (mins);Recipe;Texture;Meal Type;Calories (approx);Preparation Difficulty
Banana & Yogurt Bowl 45;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Easy
Lentil & Carrot Mash 46;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Easy
Sweet Potato Purée 47;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Mini Veggie Omelette Fingers 48;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Easy
Mini Veggie Omelette Fingers 49;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Medium
Mini Veggie Omelette Fingers 50;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Easy
Sweet Potato Purée 51;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Sweet Potato Purée 52;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Chicken & Sweet Pea Purée 53;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Medium
Cheese & Broccoli Pasta 54;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Medium
Chicken & Sweet Pea Purée 55;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Medium
Banana & Yogurt Bowl 56;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Easy
Sweet Potato Purée 57;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Mashed Avocado 58;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Medium
Mashed Avocado 59;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Mashed Avocado 60;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Banana & Yogurt Bowl 61;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Medium
Mini Veggie Omelette Fingers 62;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Easy
Apple & Oatmeal Cereal 63;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Cheese & Broccoli Pasta 64;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Medium
Salmon & Potato Mash 65;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Easy
Salmon & Potato Mash 66;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Easy
Chicken & Sweet Pea Purée 67;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Medium
Salmon & Potato Mash 68;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Medium
Sweet Potato Purée 69;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Whole Wheat Mini Pancakes 70;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Medium
Apple & Oatmeal Cereal 71;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Medium
Salmon & Potato Mash 72;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Easy
Sweet Potato Purée 73;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Medium
Mini Veggie Omelette Fingers 74;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Easy
Sweet Potato Purée 75;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Salmon & Potato Mash 76;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Easy
Banana & Yogurt Bowl 77;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Medium
Salmon & Potato Mash 78;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Easy
Mini Veggie Omelette Fingers 79;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Medium
Lentil & Carrot Mash 80;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Easy
Cheese & Broccoli Pasta 81;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Medium
Mini Veggie Omelette Fingers 82;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Medium
Chicken & Sweet Pea Purée 83;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Banana & Yogurt Bowl 84;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Medium
Whole Wheat Mini Pancakes 85;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Medium
Lentil & Carrot Mash 86;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Medium
Banana & Yogurt Bowl 87;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Medium
Sweet Potato Purée 88;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Salmon & Potato Mash 89;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Medium
Lentil & Carrot Mash 90;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Medium
Whole Wheat Mini Pancakes 91;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Easy
Lentil & Carrot Mash 92;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Medium
Apple & Oatmeal Cereal 93;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Chicken & Sweet Pea Purée 94;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Medium
Mini Veggie Omelette Fingers 95;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Easy
Apple & Oatmeal Cereal 96;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Sweet Potato Purée 97;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Medium
Apple & Oatmeal Cereal 98;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Apple & Oatmeal Cereal 99;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Medium
Mashed Avocado 100;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Banana & Yogurt Bowl 101;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Easy
Whole Wheat Mini Pancakes 102;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Easy
Chicken & Sweet Pea Purée 103;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Mashed Avocado 104;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Mashed Avocado 105;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Medium
Whole Wheat Mini Pancakes 106;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Easy
Banana & Yogurt Bowl 107;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Easy
Banana & Yogurt Bowl 108;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Easy
Mini Veggie Omelette Fingers 109;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Easy
Whole Wheat Mini Pancakes 110;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Medium
Apple & Oatmeal Cereal 111;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Lentil & Carrot Mash 112;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Easy
Banana & Yogurt Bowl 113;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Medium
Cheese & Broccoli Pasta 114;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Medium
Salmon & Potato Mash 115;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Medium
Lentil & Carrot Mash 116;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Medium
Chicken & Sweet Pea Purée 117;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Apple & Oatmeal Cereal 118;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Apple & Oatmeal Cereal 119;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Easy
Cheese & Broccoli Pasta 120;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Easy
Mashed Avocado 121;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Easy
Sweet Potato Purée 122;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Whole Wheat Mini Pancakes 123;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Medium
Chicken & Sweet Pea Purée 124;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Medium
Chicken & Sweet Pea Purée 125;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Apple & Oatmeal Cereal 126;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Medium
Lentil & Carrot Mash 127;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Easy
Chicken & Sweet Pea Purée 128;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Lentil & Carrot Mash 129;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Easy
Lentil & Carrot Mash 130;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Medium
Salmon & Potato Mash 131;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Medium
Cheese & Broccoli Pasta 132;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Easy
Whole Wheat Mini Pancakes 133;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Easy
Mini Veggie Omelette Fingers 134;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Easy
Salmon & Potato Mash 135;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Medium
Chicken & Sweet Pea Purée 136;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Medium
Sweet Potato Purée 137;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Medium
Sweet Potato Purée 138;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Mini Veggie Omelette Fingers 139;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Easy
Salmon & Potato Mash 140;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Medium
Cheese & Broccoli Pasta 141;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Easy
Whole Wheat Mini Pancakes 142;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Medium
Mini Veggie Omelette Fingers 143;9-12 months;Yes;Egg;Eggs, spinach, cheese (optional), olive oil;15;Whisk eggs, cook with veggies, cut into finger strips;Finger Food;Breakfast;150;Medium
Banana & Yogurt Bowl 144;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Medium
Apple & Oatmeal Cereal 145;6-9 months;No;Gluten;Oats, apple, water;10;Cook oats, blend with steamed apple, adjust thickness with water;Purée;Breakfast;90;Medium
Banana & Yogurt Bowl 146;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Easy
Chicken & Sweet Pea Purée 147;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Whole Wheat Mini Pancakes 148;12-18 months;No;Gluten,Dairy,Egg;Whole wheat flour, egg, milk, banana;15;Mix ingredients, cook small pancakes;Finger Food;Breakfast;110;Medium
Lentil & Carrot Mash 149;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Medium
Salmon & Potato Mash 150;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Easy
Banana & Yogurt Bowl 151;8-12 months;No;Dairy;Banana, plain yogurt;5;Mash banana, mix with yogurt, serve chilled;Mash;Snack;80;Easy
Lentil & Carrot Mash 152;7-10 months;Yes;None;Red lentils, carrot, onion (optional), water;25;Cook lentils & carrot, mash or blend to smooth consistency;Mash;Lunch;100;Easy
Sweet Potato Purée 153;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Chicken & Sweet Pea Purée 154;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Medium
Sweet Potato Purée 155;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Chicken & Sweet Pea Purée 156;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Sweet Potato Purée 157;6-8 months;Yes;None;Sweet potato, water, breastmilk/formula;20;Steam sweet potato until soft, blend with water or milk until smooth;Purée;Lunch;70;Easy
Cheese & Broccoli Pasta 158;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Easy
Mashed Avocado 159;6-8 months;No;None;Ripe avocado, breastmilk/formula;5;Mash avocado and thin with milk if needed;Mash;Breakfast;60;Medium
Cheese & Broccoli Pasta 160;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Medium
Chicken & Sweet Pea Purée 161;8-12 months;Yes;None;Chicken breast, peas, sweet potato, water;30;Steam chicken & veggies, blend to purée;Purée;Dinner;120;Easy
Salmon & Potato Mash 162;10-14 months;Yes;Fish;Salmon, potato, broccoli, olive oil;30;Steam fish & veg, mash together;Mash;Lunch;130;Medium
Cheese & Broccoli Pasta 163;18-36 months;No;Gluten,Dairy;Small pasta, broccoli, cheese, butter;15;Cook pasta, steam broccoli, mix with cheese sauce;Soft Pieces;Dinner;200;Medium
